Filename, Line #, TypeChef-Type, .\busybox_1_28_0_cbmc.json-Type
init.c, 322, Check stdlibfunc return, pointer dereference
md5_sha1_sum.c, 307, Xfree, assertion
lineedit.c, 1226, Xfree, assertion
sed.c, 591, Xfree, assertion
ed.c, 244, Uninitialized memory, overflow
libnetlink.c, 62, Uninitialized memory, overflow
diff.c, 897, Uninitialized memory, overflow
iptunnel.c, 232, Check stdlibfunc return, pointer dereference
fsck_minix.c, 523, Uninitialized memory, overflow
reformime.c, 82, Uninitialized memory, overflow
sendmail.c, 503, Check stdlibfunc return, pointer dereference
lsattr.c, 95, Xfree, assertion
fdisk_sgi.c, 567, Uninitialized memory, array bounds
decompress_unlzma.c, 81, Uninitialized memory, overflow
fsck.c, 613, Check stdlibfunc return, overflow
interface.c, 911, Check stdlibfunc return, assertion
awk.c, 1769, Uninitialized memory, overflow
netstat.c, 678, Check stdlibfunc return, assertion
runsv.c, 237, Uninitialized memory, overflow
procps.c, 235, Double free, assertion
ipaddress.c, 258, Uninitialized memory, overflow
comm.c, 76, Xfree, assertion
sulogin.c, 87, Check stdlibfunc return, pointer dereference
login.c, 572, Uninitialized memory, pointer dereference
modprobe.c, 398, Xfree, assertion
hash_md5_sha.c, 725, Uninitialized memory, overflow
lineedit.c, 2244, Uninitialized memory, overflow
devfsd.c, 1743, Uninitialized memory, overflow
netstat.c, 637, Uninitialized memory, overflow
modprobe-small.c, 845, Xfree, assertion
vi.c, 2127, Check stdlibfunc return, overflow
ifupdown.c, 1309, Check stdlibfunc return, assertion
nmeter.c, 512, Uninitialized memory, overflow
decompress_bunzip2.c, 316, Uninitialized memory, array bounds
chpasswd.c, 111, Xfree, assertion
bootchartd.c, 392, Uninitialized memory, overflow
hush.c, 8657, Xfree, assertion
syslogd.c, 1077, Case termination, pointer dereference
readprofile.c, 270, Check stdlibfunc return, assertion
modprobe.c, 310, Uninitialized memory, overflow
dos2unix.c, 103, Xfree, assertion
ipneigh.c, 177, Uninitialized memory, overflow
iso9660.c, 97, Uninitialized memory, pointer dereference
tr.c, 266, Uninitialized memory, overflow
powertop.c, 432, Check stdlibfunc return, overflow
halt.c, 97, Uninitialized memory, overflow
tls_aes.c, 436, Uninitialized memory, overflow
diff.c, 915, Uninitialized memory, array bounds
ntpd.c, 1008, Xfree, assertion
sestatus.c, 150, Uninitialized memory, array bounds
ifconfig.c, 437, Check stdlibfunc return, overflow
print_numbered_lines.c, 29, Check stdlibfunc return, assertion
ed.c, 371, Uninitialized memory, overflow
nandwrite.c, 143, Dead store, pointer dereference
ls.c, 1141, Check stdlibfunc return, pointer dereference
fsck.c, 493, Uninitialized memory, pointer dereference
fdisk.c, 2903, Check stdlibfunc return, assertion
iproute.c, 313, Uninitialized memory, overflow
wget.c, 1282, Uninitialized memory, assertion
lzop.c, 1117, Check stdlibfunc return, overflow
getsebool.c, 69, Uninitialized memory, pointer dereference
iostat.c, 196, Check stdlibfunc return, assertion
procps.c, 558, Uninitialized memory, overflow
devfsd.c, 762, Uninitialized memory, array bounds
svlogd.c, 626, Uninitialized memory, overflow
ash.c, 7059, Case termination, pointer dereference
patch.c, 488, Dead store, overflow
modutils.c, 32, Uninitialized memory, pointer dereference
hush.c, 1537, Xfree, assertion
top.c, 578, Uninitialized memory, overflow
dd.c, 563, Xfree, assertion
awk.c, 2172, Dead store, pointer dereference
hush.c, 5796, Check stdlibfunc return, overflow
pidfile.c, 35, Uninitialized memory, overflow
fsck.c, 974, Check stdlibfunc return, pointer dereference
last.c, 100, Uninitialized memory, overflow
smemcap.c, 118, Uninitialized memory, overflow
uuencode.c, 117, Check stdlibfunc return, overflow
vi.c, 2105, Check stdlibfunc return, overflow
crond.c, 586, Xfree, assertion
stat.c, 716, Xfree, assertion
netstat.c, 512, Uninitialized memory, overflow
ntpd.c, 838, Xfree, assertion
hush.c, 2361, Xfree, pointer dereference
vi.c, 4163, Uninitialized memory, overflow
pw_encrypt_des.c, 727, Uninitialized memory, overflow
expand.c, 220, Check stdlibfunc return, assertion
lineedit.c, 2017, Xfree, assertion
route.c, 373, Uninitialized memory, overflow
get_header_ar.c, 116, Uninitialized memory, pointer dereference
diff.c, 564, Xfree, assertion
unzip.c, 821, Uninitialized memory, overflow
comm.c, 97, Uninitialized memory, array bounds
login.c, 545, Uninitialized memory, pointer dereference
od_bloaty.c, 1020, Uninitialized memory, array bounds
ifconfig.c, 466, Xfree, assertion
dpkg.c, 526, Double free, pointer dereference
start_stop_daemon.c, 250, Uninitialized memory, overflow
ether-wake.c, 277, Uninitialized memory, overflow
crond.c, 546, Uninitialized memory, pointer dereference
ntpd.c, 563, Uninitialized memory, overflow
fdisk_sgi.c, 555, Uninitialized memory, array bounds
iproute.c, 728, Uninitialized memory, overflow
fdisk.c, 2998, Check stdlibfunc return, assertion
init.c, 722, Uninitialized memory, overflow
hush.c, 5544, Check stdlibfunc return, overflow
iostat.c, 408, Uninitialized memory, overflow
mount.c, 517, Double free, pointer dereference
iproute.c, 331, Uninitialized memory, overflow
iptunnel.c, 486, Check stdlibfunc return, pointer dereference
ipaddress.c, 341, Uninitialized memory, overflow
inetd.c, 1684, Uninitialized memory, pointer dereference
mpstat.c, 340, Dead store, pointer dereference
shuf.c, 106, Uninitialized memory, overflow
ipaddress.c, 155, Uninitialized memory, overflow
inetd.c, 1264, Uninitialized memory, overflow
comm.c, 104, Uninitialized memory, array bounds
mount.c, 1904, Check stdlibfunc return, pointer dereference
xargs.c, 507, Check stdlibfunc return, assertion
powertop.c, 122, Check stdlibfunc return, assertion
devfsd.c, 633, Uninitialized memory, pointer dereference
nmeter.c, 605, Uninitialized memory, pointer dereference
fsck_minix.c, 622, Uninitialized memory, overflow
route.c, 389, Uninitialized memory, overflow
xz_dec_stream.c, 646, Case termination, pointer dereference
bootchartd.c, 315, Check stdlibfunc return, assertion
iproute.c, 156, Uninitialized memory, overflow
uudecode.c, 109, Xfree, assertion
sed.c, 1603, Check stdlibfunc return, assertion
pwd_grp.c, 127, Double free, pointer dereference
less.c, 553, Dead store, pointer dereference
awk.c, 2303, Uninitialized memory, array bounds
setfiles.c, 720, Check stdlibfunc return, assertion
lineedit.c, 746, Check stdlibfunc return, overflow
xreadlink.c, 75, Xfree, assertion
mdev.c, 833, Uninitialized memory, overflow
ash.c, 5930, Check stdlibfunc return, pointer dereference
decompress_gunzip.c, 355, Uninitialized memory, array bounds
od_bloaty.c, 1010, Uninitialized memory, array bounds
dpkg.c, 1718, Xfree, assertion
rx.c, 110, Uninitialized memory, overflow
awk.c, 1026, Double free, pointer dereference
devfsd.c, 1768, Uninitialized memory, overflow
cpio.c, 351, Xfree, assertion
iproute.c, 167, Uninitialized memory, overflow
ipneigh.c, 124, Uninitialized memory, overflow
modprobe-small.c, 373, Xfree, assertion
hfs.c, 285, Uninitialized memory, overflow
ntpd.c, 1318, Uninitialized memory, array bounds
progress.c, 152, Uninitialized memory, overflow
decompress_bunzip2.c, 479, Uninitialized memory, array bounds
chpasswd.c, 74, Check stdlibfunc return, overflow
hexedit.c, 317, Case termination, pointer dereference
wget.c, 1326, Check stdlibfunc return, assertion
ps.c, 775, Uninitialized memory, overflow
runsv.c, 195, Uninitialized memory, overflow
telnet.c, 248, Uninitialized memory, overflow
setpriv.c, 282, Xfree, assertion
inetd.c, 687, Double free, pointer dereference
getopt32.c, 469, Uninitialized memory, pointer dereference
mdev.c, 640, Uninitialized memory, overflow
fdisk_sun.c, 437, Uninitialized memory, overflow
sed.c, 195, Double free, pointer dereference
tar.c, 331, Uninitialized memory, overflow
modprobe-small.c, 656, Check stdlibfunc return, assertion
mount.c, 2296, Uninitialized memory, overflow
modutils.c, 28, Uninitialized memory, overflow
devfsd.c, 527, Xfree, assertion
devfsd.c, 945, Uninitialized memory, pointer dereference
awk.c, 2620, Check stdlibfunc return, pointer dereference
ubi_tools.c, 138, Uninitialized memory, overflow
arp.c, 451, Uninitialized memory, overflow
vi.c, 4159, Uninitialized memory, overflow
modprobe-small.c, 760, Uninitialized memory, overflow
ipaddress.c, 134, Uninitialized memory, overflow
sort.c, 501, Dead store, overflow
lineedit.c, 1719, Dead store, pointer dereference
ntpd.c, 2283, Uninitialized memory, overflow
iptunnel.c, 288, Uninitialized memory, pointer dereference
popmaildir.c, 174, Xfree, assertion
fdisk_sun.c, 459, Uninitialized memory, array bounds
ubi_tools.c, 327, Uninitialized memory, overflow
sed.c, 189, Double free, pointer dereference
bootchartd.c, 241, Check stdlibfunc return, overflow
netstat.c, 327, Xfree, assertion
lsusb.c, 44, Uninitialized memory, pointer dereference
decompress_bunzip2.c, 461, Uninitialized memory, array bounds
blocksort.c, 921, Uninitialized memory, array bounds
crond.c, 402, Xfree, assertion
vi.c, 1672, Check stdlibfunc return, overflow
nmeter.c, 202, Check stdlibfunc return, overflow
packet.c, 123, Uninitialized memory, overflow
mkfs_vfat.c, 533, Uninitialized memory, pointer dereference
less.c, 1387, Uninitialized memory, overflow
acpid.c, 232, Uninitialized memory, pointer dereference
awk.c, 1608, Dead store, pointer dereference
devfsd.c, 1096, Case termination, pointer dereference
devfsd.c, 1783, Uninitialized memory, overflow
unshare.c, 186, Uninitialized memory, overflow
common.c, 565, Check stdlibfunc return, overflow
inetd.c, 871, Uninitialized memory, pointer dereference
lineedit.c, 1837, Check stdlibfunc return, overflow
nameif.c, 277, Uninitialized memory, overflow
lspci.c, 80, Uninitialized memory, overflow
ntpd.c, 1227, Uninitialized memory, array bounds
modprobe.c, 365, Case termination, pointer dereference
wget.c, 1331, Double free, assertion
ipaddress.c, 231, Uninitialized memory, overflow
xz_dec_stream.c, 587, Case termination, pointer dereference
xz_dec_stream.c, 309, Case termination, pointer dereference
nandwrite.c, 81, Uninitialized memory, pointer dereference
logenv.c, 13, Check stdlibfunc return, pointer dereference
reformime.c, 123, Check stdlibfunc return, overflow
od_bloaty.c, 1385, Check stdlibfunc return, assertion
fdisk_sun.c, 424, Uninitialized memory, overflow
httpd.c, 854, Uninitialized memory, overflow
strings.c, 112, Xfree, assertion
dhcpc.c, 390, Xfree, assertion
mount.c, 584, Check stdlibfunc return, overflow
mkfs_ext2.c, 384, Uninitialized memory, overflow
ash.c, 10715, Uninitialized memory, overflow
diff.c, 641, Uninitialized memory, array bounds
devfsd.c, 1078, Case termination, overflow
netstat.c, 313, Uninitialized memory, overflow
ash.c, 1923, Xfree, assertion
sestatus.c, 63, Xfree, assertion
setserial.c, 690, Case termination, overflow
dpkg.c, 331, Xfree, assertion
lzop.c, 818, Xfree, assertion
dump.c, 572, Uninitialized memory, overflow
dump.c, 449, Check stdlibfunc return, pointer dereference
add-remove-shell.c, 77, Uninitialized memory, overflow
dump.c, 80, Check stdlibfunc return, pointer dereference
readprofile.c, 246, Uninitialized memory, overflow
paste.c, 83, Xfree, assertion
mount.c, 2009, Check stdlibfunc return, pointer dereference
iproute.c, 194, Uninitialized memory, overflow
decompress_uncompress.c, 109, Uninitialized memory, overflow
hexedit.c, 361, Case termination, pointer dereference
dhcpd.c, 417, Uninitialized memory, pointer dereference
ifupdown.c, 1491, Double free, pointer dereference
lineedit.c, 1962, Check stdlibfunc return, overflow
bootchartd.c, 450, Check stdlibfunc return, pointer dereference
hush.c, 9888, Double free, overflow
iplink.c, 559, Uninitialized memory, overflow
hexdump.c, 120, Check stdlibfunc return, overflow
getopt32.c, 425, Uninitialized memory, pointer dereference
ubi.c, 40, Uninitialized memory, overflow
signals.c, 55, Uninitialized memory, overflow
bbunzip.c, 198, Xfree, assertion
data_extract_to_command.c, 90, Uninitialized memory, pointer dereference
top.c, 562, Check stdlibfunc return, assertion
devfsd.c, 1837, Uninitialized memory, overflow
ftpd.c, 648, Xfree, assertion
remove_file.c, 61, Xfree, assertion
get_header_tar.c, 139, Double free, pointer dereference
svlogd.c, 1168, Uninitialized memory, overflow
parse_config.c, 178, Dead store, overflow
less.c, 1082, Uninitialized memory, overflow
vi.c, 1271, Uninitialized memory, overflow
runsv.c, 279, Uninitialized memory, overflow
readprofile.c, 253, Uninitialized memory, overflow
xconnect.c, 220, Check stdlibfunc return, overflow
ll_map.c, 76, Uninitialized memory, pointer dereference
ubi_tools.c, 254, Uninitialized memory, overflow
libnetlink.c, 377, Dead store, pointer dereference
hush.c, 10040, Check stdlibfunc return, overflow
less.c, 1173, Xfree, assertion
wc.c, 239, Uninitialized memory, array bounds
lsusb.c, 48, Uninitialized memory, overflow
nmeter.c, 872, Check stdlibfunc return, pointer dereference
decompress_gunzip.c, 464, Uninitialized memory, overflow
decompress_bunzip2.c, 489, Uninitialized memory, array bounds
ash.c, 4567, Uninitialized memory, overflow
which.c, 47, Check stdlibfunc return, pointer dereference
fdisk.c, 2394, Uninitialized memory, array bounds
common.c, 460, Xfree, assertion
wc.c, 158, Uninitialized memory, overflow
hush.c, 6092, Xfree, assertion
ifenslave.c, 467, Uninitialized memory, overflow
get_header_ar.c, 53, Uninitialized memory, overflow
ash.c, 2682, Xfree, assertion
get_header_tar.c, 146, Xfree, assertion
ifupdown.c, 1064, Xfree, assertion
i2c_tools.c, 1145, Uninitialized memory, pointer dereference
nc_bloaty.c, 473, Xfree, assertion
common.c, 601, Uninitialized memory, overflow
lineedit.c, 691, Xfree, assertion
depmod.c, 81, Xfree, assertion
ubi_tools.c, 245, Uninitialized memory, pointer dereference
man.c, 307, Check stdlibfunc return, pointer dereference
xfuncs.c, 176, Dead store, pointer dereference
ln.c, 97, Xfree, assertion
vi.c, 874, Check stdlibfunc return, overflow
verror_msg.c, 40, Uninitialized memory, overflow
lineedit.c, 1539, Check stdlibfunc return, assertion
hush.c, 5663, Check stdlibfunc return, pointer dereference
dpkg.c, 678, Xfree, assertion
ls.c, 1222, Uninitialized memory, overflow
devfsd.c, 1287, Xfree, assertion
diff.c, 525, Uninitialized memory, array bounds
sv.c, 721, Uninitialized memory, pointer dereference
xfuncs_printf.c, 296, Check stdlibfunc return, pointer dereference
sysctl.c, 200, Xfree, assertion
vi.c, 1360, Uninitialized memory, overflow
awk.c, 2449, Uninitialized memory, pointer dereference
ifupdown.c, 1071, Check stdlibfunc return, assertion
hush.c, 1945, Double free, assertion
ash.c, 5257, Uninitialized memory, pointer dereference
blocksort.c, 265, Uninitialized memory, array bounds
cp.c, 170, Dead store, pointer dereference
powertop.c, 808, Uninitialized memory, array bounds
flashcp.c, 149, Uninitialized memory, overflow
od_bloaty.c, 1043, Uninitialized memory, overflow
hush.c, 5656, Check stdlibfunc return, pointer dereference
conspy.c, 503, Case termination, pointer dereference
arping.c, 348, Xfree, assertion
get_header_cpio.c, 187, Double free, assertion
printf.c, 380, Case termination, pointer dereference
date.c, 256, Dead store, pointer dereference
id.c, 238, Xfree, assertion
less.c, 1579, Case termination, overflow
grep.c, 851, Double free, assertion
cpio.c, 271, Uninitialized memory, overflow
hush.c, 1629, Double free, assertion
dump.c, 124, Check stdlibfunc return, overflow
lzo1x_9x.c, 421, Dead store, pointer dereference
auto_string.c, 20, Uninitialized memory, overflow
httpd.c, 1953, Check stdlibfunc return, pointer dereference
ash.c, 9318, Xfree, assertion
decompress_gunzip.c, 348, Uninitialized memory, array bounds
sed.c, 590, Xfree, assertion
ed.c, 247, Uninitialized memory, pointer dereference
sysctl.c, 222, Dead store, pointer dereference
decompress_unlzma.c, 227, Uninitialized memory, overflow
fdisk_sgi.c, 566, Uninitialized memory, array bounds
dc.c, 296, Xfree, assertion
rev.c, 117, Xfree, assertion
ipaddress.c, 554, Uninitialized memory, overflow
nmeter.c, 526, Uninitialized memory, overflow
ash.c, 4917, Xfree, assertion
top.c, 316, Check stdlibfunc return, assertion
modprobe.c, 316, Uninitialized memory, overflow
rtc.c, 30, Check stdlibfunc return, assertion
ash.c, 5900, Check stdlibfunc return, pointer dereference
decompress_gunzip.c, 325, Uninitialized memory, overflow
dpkg.c, 570, Case termination, pointer dereference
pwd_grp.c, 290, Uninitialized memory, overflow
start_stop_daemon.c, 230, Check stdlibfunc return, overflow
dump.c, 598, Dead store, pointer dereference
ether-wake.c, 289, Uninitialized memory, overflow
ash.c, 6214, Double free, assertion
echo.c, 189, Xfree, assertion
gzip.c, 1283, Uninitialized memory, array bounds
ipaddress.c, 547, Uninitialized memory, overflow
nmeter.c, 513, Uninitialized memory, overflow
fbsplash.c, 448, Xfree, assertion
vi.c, 4176, Uninitialized memory, pointer dereference
wget.c, 1288, Xfree, assertion
diff.c, 688, Uninitialized memory, pointer dereference
cttyhack.c, 129, Uninitialized memory, overflow
crond.c, 322, Dead store, pointer dereference
readprofile.c, 271, Xfree, assertion
depmod.c, 202, Uninitialized memory, overflow
compress.c, 412, Uninitialized memory, array bounds
diff.c, 545, Uninitialized memory, overflow
match.h, 23, Dead store, overflow
wget.c, 1275, Xfree, assertion
hexdump.c, 82, Xfree, assertion
unzip.c, 800, Uninitialized memory, overflow
telnetd.c, 266, Dead store, pointer dereference
lineedit.c, 2252, Uninitialized memory, overflow
modutils.c, 62, Double free, assertion
start_stop_daemon.c, 233, Check stdlibfunc return, overflow
init.c, 448, Uninitialized memory, array bounds
copyfd.c, 100, Uninitialized memory, overflow
vi.c, 2809, Uninitialized memory, overflow
ps.c, 512, Uninitialized memory, pointer dereference
ntpd.c, 1009, Xfree, assertion
dpkg.c, 928, Xfree, assertion
udp_io.c, 65, Uninitialized memory, overflow
pidfile.c, 37, Uninitialized memory, overflow
fdisk_sgi.c, 548, Uninitialized memory, array bounds
hush.c, 3050, Uninitialized memory, pointer dereference
verror_msg.c, 100, Xfree, assertion
ll_map.c, 54, Uninitialized memory, overflow
powertop.c, 844, Check stdlibfunc return, pointer dereference
nmeter.c, 838, Uninitialized memory, overflow
ifupdown.c, 1508, Check stdlibfunc return, assertion
decompress_gunzip.c, 588, Dead store, pointer dereference
signals.c, 105, Uninitialized memory, overflow
uidgid_get.c, 39, Check stdlibfunc return, overflow
uuencode.c, 141, Uninitialized memory, pointer dereference
llist.c, 43, Xfree, assertion
utils.c, 158, Check stdlibfunc return, overflow
dnsd.c, 554, Uninitialized memory, overflow
httpd.c, 2701, Uninitialized memory, overflow
init.c, 455, Uninitialized memory, overflow
adduser.c, 253, Xfree, assertion
awk.c, 834, Xfree, assertion
crond.c, 548, Uninitialized memory, pointer dereference
nmeter.c, 608, Uninitialized memory, overflow
dhcpc.c, 470, Uninitialized memory, overflow
iostat.c, 485, Uninitialized memory, pointer dereference
fdisk_sgi.c, 557, Uninitialized memory, array bounds
ash.c, 6128, Dead store, overflow
init.c, 716, Uninitialized memory, pointer dereference
whois.c, 58, Uninitialized memory, overflow
mail.c, 52, Uninitialized memory, overflow
diff.c, 1047, Uninitialized memory, array bounds
getsebool.c, 77, Xfree, pointer dereference
modprobe.c, 701, Double free, assertion
od_bloaty.c, 571, Check stdlibfunc return, pointer dereference
d6_dhcpc.c, 284, Uninitialized memory, overflow
sed.c, 1324, Case termination, assertion
klogd.c, 130, Check stdlibfunc return, assertion
httpd.c, 1687, Check stdlibfunc return, overflow
man.c, 128, Check stdlibfunc return, overflow
diff.c, 932, Xfree, assertion
crond.c, 557, Uninitialized memory, pointer dereference
modinfo.c, 123, Xfree, assertion
ntpd.c, 564, Uninitialized memory, overflow
ifupdown.c, 1273, Check stdlibfunc return, assertion
iproute.c, 729, Uninitialized memory, overflow
decompress_gunzip.c, 391, Uninitialized memory, array bounds
bb_getgroups.c, 15, Dead store, pointer dereference
sed.c, 478, Xfree, assertion
pwd_grp.c, 529, Xfree, assertion
less.c, 646, Uninitialized memory, array bounds
fdisk_sun.c, 464, Uninitialized memory, array bounds
brctl.c, 371, Uninitialized memory, array bounds
mpstat.c, 341, Dead store, array bounds
cat.c, 154, Uninitialized memory, overflow
uniq.c, 120, Xfree, assertion
fdisk_gpt.c, 89, Uninitialized memory, overflow
telnet.c, 655, Dead store, pointer dereference
mdev.c, 701, Uninitialized memory, array bounds
mount.c, 2059, Check stdlibfunc return, pointer dereference
telnetd.c, 305, Uninitialized memory, overflow
telnetd.c, 390, Uninitialized memory, overflow
iproute.c, 157, Uninitialized memory, overflow
obscure.c, 121, Xfree, assertion
bootchartd.c, 427, Check stdlibfunc return, pointer dereference
get_last_path_component.c, 27, Check stdlibfunc return, overflow
ifconfig.c, 370, Uninitialized memory, pointer dereference
mdev.c, 832, Uninitialized memory, overflow
acpid.c, 363, Uninitialized memory, pointer dereference
ls.c, 563, Uninitialized memory, overflow
get_header_ar.c, 101, Uninitialized memory, pointer dereference
fdisk_osf.c, 733, Uninitialized memory, pointer dereference
mdev.c, 1103, Check stdlibfunc return, pointer dereference
rx.c, 111, Uninitialized memory, overflow
sed.c, 1455, Xfree, assertion
ether-wake.c, 260, Uninitialized memory, overflow
wget.c, 699, Check stdlibfunc return, overflow
rfkill.c, 113, Uninitialized memory, overflow
ps.c, 612, Uninitialized memory, overflow
hexdump.c, 199, Xfree, assertion
pstree.c, 234, Uninitialized memory, pointer dereference
fdisk_sgi.c, 536, Uninitialized memory, array bounds
find.c, 652, Double free, pointer dereference
ifupdown.c, 423, Xfree, assertion
awk.c, 2618, Double free, assertion
lineedit.c, 1491, Xfree, assertion
mdev.c, 984, Uninitialized memory, overflow
sed.c, 1366, Case termination, pointer dereference
ash.c, 9252, Uninitialized memory, overflow
dpkg.c, 613, Uninitialized memory, pointer dereference
seq.c, 66, Case termination, overflow
mdev.c, 388, Check stdlibfunc return, overflow
httpd.c, 723, Uninitialized memory, overflow
ls.c, 714, Xfree, assertion
passwd.c, 243, Xfree, assertion
ipaddress.c, 140, Uninitialized memory, pointer dereference
add-remove-shell.c, 104, Xfree, assertion
login.c, 523, Uninitialized memory, pointer dereference
ash.c, 7895, Check stdlibfunc return, overflow
fdisk_sun.c, 436, Uninitialized memory, array bounds
pipe_progress.c, 36, Uninitialized memory, overflow
man.c, 171, Check stdlibfunc return, overflow
od_bloaty.c, 1164, Check stdlibfunc return, overflow
ash.c, 7634, Dead store, pointer dereference
tls_pstm.c, 642, Dead store, pointer dereference
devmem.c, 65, Dead store, array bounds
socket.c, 103, Uninitialized memory, overflow
fbsplash.c, 426, Uninitialized memory, overflow
hush.c, 5672, Check stdlibfunc return, overflow
ash.c, 4521, Uninitialized memory, overflow
ash.c, 12713, Uninitialized memory, pointer dereference
ash.c, 5322, Case termination, pointer dereference
wc.c, 176, Uninitialized memory, overflow
lineedit.c, 872, Xfree, assertion
acpid.c, 381, Xfree, assertion
sed.c, 1472, Check stdlibfunc return, overflow
vi.c, 1417, Check stdlibfunc return, overflow
runsv.c, 385, Uninitialized memory, pointer dereference
ifupdown.c, 375, Check stdlibfunc return, overflow
unzip.c, 842, Uninitialized memory, overflow
sed.c, 203, Check stdlibfunc return, assertion
crond.c, 513, Uninitialized memory, pointer dereference
ntpd.c, 1841, Uninitialized memory, pointer dereference
vi.c, 1306, Uninitialized memory, overflow
vi.c, 1901, Uninitialized memory, overflow
xz_dec_stream.c, 668, Case termination, pointer dereference
inet_common.c, 157, Uninitialized memory, overflow
tls_pstm.c, 269, Uninitialized memory, array bounds
logread.c, 222, Xfree, assertion
awk.c, 1751, Uninitialized memory, pointer dereference
renice.c, 93, Check stdlibfunc return, overflow
ntpd.c, 1237, Uninitialized memory, array bounds
nmeter.c, 909, Uninitialized memory, pointer dereference
diff.c, 623, Uninitialized memory, overflow
ipaddress.c, 312, Uninitialized memory, overflow
rpm.c, 485, Double free, assertion
rx.c, 201, Uninitialized memory, array bounds
procps.c, 517, Uninitialized memory, pointer dereference
sv.c, 546, Case termination, overflow
acpid.c, 231, Uninitialized memory, pointer dereference
blocksort.c, 248, Uninitialized memory, array bounds
devfsd.c, 540, Check stdlibfunc return, assertion
hush.c, 4927, Check stdlibfunc return, overflow
fdisk_sgi.c, 503, Uninitialized memory, overflow
diff.c, 647, Uninitialized memory, array bounds
netstat.c, 319, Uninitialized memory, overflow
vi.c, 2054, Check stdlibfunc return, pointer dereference
bzlib.c, 130, Case termination, pointer dereference
which.c, 67, Xfree, assertion
i2c_tools.c, 705, Uninitialized memory, overflow
blocksort.c, 913, Uninitialized memory, array bounds
wget.c, 1328, Uninitialized memory, assertion
adduser.c, 270, Xfree, assertion
ipaddress.c, 230, Uninitialized memory, overflow
hdparm.c, 1996, Uninitialized memory, overflow
lsscsi.c, 74, Check stdlibfunc return, overflow
pmap.c, 69, Uninitialized memory, overflow
procps.c, 273, Check stdlibfunc return, assertion
mount.c, 1868, Xfree, assertion
fdisk_sun.c, 427, Uninitialized memory, overflow
tune2fs.c, 114, Xfree, assertion
xfuncs_printf.c, 348, Check stdlibfunc return, overflow
awk.c, 3236, Check stdlibfunc return, assertion
lineedit.c, 1408, Uninitialized memory, overflow
reformime.c, 235, Xfree, assertion
i2c_tools.c, 1188, Uninitialized memory, overflow
init.c, 242, Uninitialized memory, overflow
diff.c, 640, Uninitialized memory, pointer dereference
ash.c, 1922, Xfree, pointer dereference
dpkg.c, 332, Xfree, assertion
diff.c, 625, Uninitialized memory, overflow
ipaddress.c, 298, Uninitialized memory, overflow
awk.c, 2412, Uninitialized memory, overflow
swaponoff.c, 289, Check stdlibfunc return, assertion
awk.c, 1932, Uninitialized memory, pointer dereference
hush.c, 9848, Uninitialized memory, overflow
iptunnel.c, 346, Uninitialized memory, pointer dereference
ntpd.c, 1387, Uninitialized memory, array bounds
sendmail.c, 417, Xfree, assertion
syslogd.c, 762, Uninitialized memory, pointer dereference
hush.c, 10046, Xfree, assertion
loadfont.c, 322, Uninitialized memory, overflow
wget.c, 457, Check stdlibfunc return, pointer dereference
lsusb.c, 54, Uninitialized memory, overflow
ln.c, 116, Xfree, assertion
decompress_gunzip.c, 470, Uninitialized memory, pointer dereference
hush.c, 4786, Check stdlibfunc return, overflow
iproute.c, 972, Uninitialized memory, overflow
fdisk.c, 2400, Uninitialized memory, array bounds
loadfont.c, 211, Uninitialized memory, overflow
uuencode.c, 221, Uninitialized memory, overflow
sleep.c, 102, Check stdlibfunc return, overflow
awk.c, 2325, Uninitialized memory, pointer dereference
hush.c, 2273, Xfree, assertion
pmap.c, 75, Uninitialized memory, overflow
hush.c, 7326, Xfree, assertion
data_extract_to_command.c, 89, Uninitialized memory, pointer dereference
diff.c, 1003, Uninitialized memory, array bounds
iptunnel.c, 242, Check stdlibfunc return, pointer dereference
hush.c, 4692, Uninitialized memory, pointer dereference
mount.c, 2260, Dead store, pointer dereference
iproute.c, 91, Uninitialized memory, overflow
diff.c, 860, Uninitialized memory, overflow
md5_sha1_sum.c, 239, Uninitialized memory, overflow
common.c, 607, Uninitialized memory, overflow
vi.c, 1270, Uninitialized memory, overflow
xconnect.c, 221, Check stdlibfunc return, overflow
syslogd.c, 757, Uninitialized memory, overflow
powertop.c, 805, Uninitialized memory, array bounds
flash_eraseall.c, 153, Uninitialized memory, overflow
lsusb.c, 49, Uninitialized memory, overflow
lspci.c, 70, Uninitialized memory, overflow
getsebool.c, 61, Uninitialized memory, pointer dereference
dpkg.c, 789, Dead store, pointer dereference
fdisk.c, 2395, Uninitialized memory, array bounds
d6_dhcpc.c, 746, Uninitialized memory, overflow
start_stop_daemon.c, 203, Uninitialized memory, overflow
loadfont.c, 530, Xfree, assertion
top.c, 554, Check stdlibfunc return, overflow
uevent.c, 115, Check stdlibfunc return, overflow
mpstat.c, 508, Uninitialized memory, pointer dereference
dpkg.c, 974, Case termination, overflow
i2c_tools.c, 1150, Uninitialized memory, pointer dereference
bb_askpass.c, 53, Uninitialized memory, overflow
md5_sha1_sum.c, 232, Uninitialized memory, pointer dereference
ll_map.c, 84, Uninitialized memory, overflow
fsck.c, 458, Uninitialized memory, pointer dereference
dump.c, 222, Case termination, pointer dereference
lspci.c, 63, Uninitialized memory, overflow
lineedit.c, 1977, Uninitialized memory, overflow
xfuncs_printf.c, 548, Uninitialized memory, pointer dereference
