Filename, Line #, TypeChef-Type, .\busybox_1_28_0_cbmc.json-Type
uudecode.c, 224, Check stdlibfunc return, pointer dereference
inetd.c, 1675, Uninitialized memory, overflow
runsv.c, 196, Uninitialized memory, overflow
unzip.c, 283, Xfree, assertion
dpkg.c, 609, Uninitialized memory, pointer dereference
ifplugd.c, 597, Check stdlibfunc return, pointer dereference
fsck.c, 1064, Check stdlibfunc return, pointer dereference
get_header_ar.c, 102, Uninitialized memory, pointer dereference
unzip.c, 839, Uninitialized memory, overflow
dpkg.c, 528, Double free, pointer dereference
mdev.c, 1096, Check stdlibfunc return, pointer dereference
fdisk_sun.c, 432, Uninitialized memory, overflow
find.c, 816, Case termination, pointer dereference
devfsd.c, 626, Uninitialized memory, overflow
diff.c, 494, Uninitialized memory, array bounds
ntpd.c, 1355, Uninitialized memory, array bounds
getopt32.c, 353, Uninitialized memory, overflow
ash.c, 7638, Dead store, overflow
devmem.c, 77, Dead store, pointer dereference
syslogd.c, 730, Uninitialized memory, pointer dereference
ash.c, 3743, Dead store, pointer dereference
svlogd.c, 652, Uninitialized memory, overflow
hexedit.c, 313, Case termination, overflow
devfsd.c, 805, Uninitialized memory, pointer dereference
wc.c, 180, Uninitialized memory, overflow
lineedit.c, 1168, Check stdlibfunc return, pointer dereference
unzip.c, 846, Uninitialized memory, overflow
open_transformer.c, 323, Xfree, assertion
less.c, 1622, Check stdlibfunc return, pointer dereference
modprobe-small.c, 217, Uninitialized memory, overflow
common.c, 575, Uninitialized memory, overflow
ifupdown.c, 450, Xfree, assertion
dpkg.c, 1584, Xfree, assertion
blocksort.c, 348, Uninitialized memory, array bounds
diff.c, 754, Uninitialized memory, overflow
ps.c, 438, Check stdlibfunc return, overflow
get_header_tar.c, 401, Case termination, pointer dereference
fbsplash.c, 429, Uninitialized memory, pointer dereference
cut.c, 316, Xfree, assertion
vi.c, 4131, Check stdlibfunc return, overflow
crond.c, 401, Double free, pointer dereference
mpstat.c, 476, Uninitialized memory, pointer dereference
login.c, 513, Xfree, assertion
acpid.c, 235, Uninitialized memory, pointer dereference
blocksort.c, 691, Uninitialized memory, array bounds
losetup.c, 72, Xfree, assertion
man.c, 161, Xfree, assertion
readprofile.c, 229, Uninitialized memory, overflow
ntpd.c, 910, Xfree, assertion
decompress_bunzip2.c, 813, Uninitialized memory, overflow
sed.c, 185, Double free, pointer dereference
tls_pstm.c, 270, Uninitialized memory, pointer dereference
ls.c, 802, Double free, assertion
sv.c, 504, Check stdlibfunc return, pointer dereference
sendmail.c, 322, Check stdlibfunc return, pointer dereference
decompress_uncompress.c, 310, Xfree, assertion
httpd.c, 1940, Check stdlibfunc return, overflow
hush.c, 9446, Xfree, assertion
dhcpd.c, 327, Xfree, pointer dereference
uuencode.c, 203, Uninitialized memory, overflow
svlogd.c, 563, Check stdlibfunc return, pointer dereference
httpd.c, 708, Uninitialized memory, pointer dereference
hush.c, 7137, Xfree, assertion
wget.c, 720, Uninitialized memory, overflow
fdisk_sun.c, 423, Uninitialized memory, array bounds
readprofile.c, 236, Uninitialized memory, NaN
xconnect.c, 278, Uninitialized memory, overflow
install.c, 221, Double free, assertion
i2c_tools.c, 1184, Check stdlibfunc return, assertion
fdisk.c, 2522, Uninitialized memory, array bounds
man.c, 299, Xfree, assertion
awk.c, 1757, Uninitialized memory, overflow
nsenter.c, 168, Uninitialized memory, overflow
inetd.c, 1065, Uninitialized memory, pointer dereference
ifupdown.c, 1497, Double free, assertion
su.c, 159, Check stdlibfunc return, pointer dereference
ed.c, 407, Check stdlibfunc return, pointer dereference
inode_hash.c, 95, Xfree, assertion
mdev.c, 801, Xfree, assertion
tls_aes.c, 449, Uninitialized memory, pointer dereference
ipaddress.c, 116, Uninitialized memory, overflow
hush.c, 6304, Double free, assertion
start_stop_daemon.c, 371, Xfree, assertion
vi.c, 2147, Check stdlibfunc return, pointer
dhcpc.c, 1718, Case termination, pointer dereference
hdparm.c, 2053, Uninitialized memory, pointer dereference
herror_msg.c, 16, Uninitialized memory, pointer dereference
dpkg.c, 794, Check stdlibfunc return, assertion
decompress_bunzip2.c, 511, Uninitialized memory, array bounds
tail.c, 402, Xfree, assertion
iostat.c, 128, Uninitialized memory, pointer dereference
modprobe.c, 499, Xfree, assertion
rtm_map.c, 95, Check stdlibfunc return, overflow
get_header_ar.c, 67, Uninitialized memory, pointer dereference
ash.c, 10868, Dead store, pointer dereference
time.c, 226, Case termination, pointer dereference
ifupdown.c, 1086, Uninitialized memory, pointer dereference
mount.c, 1862, Dead store, pointer dereference
copy_file.c, 204, Xfree, assertion
fstrim.c, 77, Uninitialized memory, overflow
devfsd.c, 1665, Uninitialized memory, overflow
crond.c, 633, Check stdlibfunc return, overflow
ifupdown.c, 1400, Check stdlibfunc return, overflow
fdisk.c, 1473, Dead store, pointer dereference
whois.c, 78, Check stdlibfunc return, assertion
find.c, 678, Uninitialized memory, array bounds
microcom.c, 140, Uninitialized memory, overflow
ln.c, 119, Xfree, assertion
nmeter.c, 288, Uninitialized memory, overflow
lineedit.c, 1092, Check stdlibfunc return, overflow
rx.c, 190, Uninitialized memory, array bounds
top.c, 364, Uninitialized memory, pointer dereference
fuser.c, 167, Check stdlibfunc return, assertion
powertop.c, 767, Uninitialized memory, overflow
diff.c, 1000, Uninitialized memory, array bounds
devfsd.c, 1833, Uninitialized memory, overflow
md5_sha1_sum.c, 347, Double free, assertion
awk.c, 2128, Dead store, overflow
wget.c, 1059, Uninitialized memory, overflow
iptunnel.c, 320, Uninitialized memory, overflow
common.c, 604, Uninitialized memory, overflow
decompress_bunzip2.c, 286, Uninitialized memory, array bounds
hush.c, 6179, Check stdlibfunc return, overflow
init.c, 1133, Check stdlibfunc return, pointer dereference
crond.c, 824, Uninitialized memory, pointer dereference
verror_msg.c, 45, Uninitialized memory, overflow
traceroute.c, 1037, Xfree, assertion
unicode.c, 58, Check stdlibfunc return, pointer dereference
dpkg.c, 1922, Double free, pointer dereference
hostname.c, 195, Xfree, assertion
od_bloaty.c, 629, Check stdlibfunc return, overflow
date.c, 247, Uninitialized memory, overflow
dhcpc.c, 582, Xfree, assertion
ash.c, 9400, Uninitialized memory, pointer dereference
losetup.c, 107, Uninitialized memory, overflow
arping.c, 128, Uninitialized memory, overflow
paste.c, 97, Xfree, assertion
tail.c, 166, Uninitialized memory, overflow
