Filename, Line #, TypeChef-Type, .\toybox_0_7_5_cbmc.json-Type
hwclock.c, 122, Uninitialized memory, overflow
lsattr.c, 295, Xfree, assertion
sed.c, 984, Check stdlibfunc return, overflow
paste.c, 49, Dead store, pointer dereference
net.c, 77, Uninitialized memory, overflow
lib.c, 1183, Uninitialized memory, pointer dereference
ftpget.c, 183, Dead store, overflow
lsattr.c, 164, Xfree, assertion
net.c, 87, Uninitialized memory, array bounds
ifconfig.c, 321, Uninitialized memory, overflow
grep.c, 136, Dead store, pointer dereference
ps.c, 815, Uninitialized memory, overflow
ls.c, 479, Uninitialized memory, overflow
ps.c, 950, Check stdlibfunc return, overflow
password.c, 179, Xfree, assertion
blkid.c, 161, Uninitialized memory, overflow
date.c, 157, Uninitialized memory, pointer dereference
ls.c, 154, Uninitialized memory, pointer dereference
login.c, 103, Uninitialized memory, overflow
uudecode.c, 39, Check stdlibfunc return, array bounds
lib.c, 413, Check stdlibfunc return, overflow
grep.c, 288, Check stdlibfunc return, overflow
acpi.c, 39, Check stdlibfunc return, assertion
rfkill.c, 55, Dead store, overflow
hwclock.c, 73, Xfree, overflow
cpio.c, 137, Check stdlibfunc return, overflow
xwrap.c, 223, Uninitialized memory, pointer dereference
df.c, 108, Dead store, overflow
ps.c, 820, Check stdlibfunc return, assertion
seq.c, 51, Check stdlibfunc return, overflow
file.c, 289, Uninitialized memory, overflow
sed.c, 928, Dead store, overflow
getmountlist.c, 119, Double free, assertion
chcon.c, 34, Xfree, assertion
ls.c, 382, Uninitialized memory, overflow
cp.c, 436, Double free, assertion
lib.c, 184, Uninitialized memory, pointer dereference
ftpget.c, 141, Check stdlibfunc return, overflow
sed.c, 802, Check stdlibfunc return, overflow
bzcat.c, 291, Uninitialized memory, array bounds
nl.c, 70, Check stdlibfunc return, assertion
date.c, 143, Dead store, pointer dereference
md5sum.c, 187, Uninitialized memory, pointer dereference
xwrap.c, 150, Check stdlibfunc return, pointer dereference
seq.c, 79, Dead store, array bounds
which.c, 29, Check stdlibfunc return, overflow
sed.c, 397, Double free, assertion
mount.c, 384, Xfree, assertion
bzcat.c, 287, Uninitialized memory, array bounds
md5sum.c, 199, Uninitialized memory, pointer dereference
ls.c, 377, Uninitialized memory, overflow
netstat.c, 181, Check stdlibfunc return, assertion
ps.c, 1064, Uninitialized memory, overflow
xwrap.c, 736, Uninitialized memory, overflow
lib.c, 58, Uninitialized memory, pointer dereference
chgrp.c, 86, Check stdlibfunc return, overflow
inotifyd.c, 53, Check stdlibfunc return, overflow
linestack.c, 131, Check stdlibfunc return, pointer dereference
ifconfig.c, 183, Uninitialized memory, overflow
ps.c, 800, Uninitialized memory, overflow
password.c, 184, Check stdlibfunc return, assertion
inotifyd.c, 121, Xfree, assertion
bzcat.c, 304, Uninitialized memory, pointer dereference
du.c, 72, Xfree, assertion
md5sum.c, 204, Uninitialized memory, array bounds
passwd.c, 100, Xfree, assertion
lsusb.c, 39, Check stdlibfunc return, assertion
bzcat.c, 658, Double free, pointer dereference
grep.c, 164, Uninitialized memory, overflow
dmesg.c, 145, Uninitialized memory, pointer dereference
cp.c, 394, Dead store, pointer dereference
getmountlist.c, 55, Check stdlibfunc return, pointer dereference
ifconfig.c, 206, Check stdlibfunc return, assertion
lib.c, 920, Check stdlibfunc return, pointer dereference
cut.c, 171, Check stdlibfunc return, pointer dereference
ps.c, 926, Xfree, assertion
su.c, 35, Check stdlibfunc return, pointer dereference
cal.c, 49, Dead store, overflow
modinfo.c, 72, Uninitialized memory, overflow
chgrp.c, 100, Xfree, assertion
net.c, 92, Uninitialized memory, array bounds
ls.c, 351, Uninitialized memory, overflow
modinfo.c, 60, Uninitialized memory, pointer
microcom.c, 101, Uninitialized memory, overflow
comm.c, 73, Uninitialized memory, array bounds
ifconfig.c, 304, Uninitialized memory, overflow
sed.c, 924, Xfree, assertion
lib.c, 907, Check stdlibfunc return, pointer dereference
xwrap.c, 791, Uninitialized memory, pointer dereference
date.c, 148, Uninitialized memory, pointer dereference
bzcat.c, 302, Uninitialized memory, array bounds
sort.c, 138, Uninitialized memory, overflow
mktemp.c, 44, Check stdlibfunc return, overflow
lsusb.c, 41, Xfree, assertion
netstat.c, 152, Uninitialized memory, overflow
ls.c, 78, Uninitialized memory, overflow
umount.c, 143, Double free, assertion
mount.c, 243, Dead store, overflow
dmesg.c, 167, Check stdlibfunc return, overflow
lib.c, 1187, Uninitialized memory, pointer dereference
tail.c, 70, Xfree, assertion
md5sum.c, 189, Uninitialized memory, pointer dereference
mount.c, 107, Check stdlibfunc return, overflow
grep.c, 206, Check stdlibfunc return, assertion
md5sum.c, 163, Uninitialized memory, array bounds
uudecode.c, 45, Dead store, overflow
